seq_name,fold
IF5_YEAST,-1
GLYC_YEAST,0
YAA7_YEAST,2
GCS1_YEAST,2
TFC3_YEAST,-1
UGA3_YEAST,0
YAC2_YEAST,2
GEF1_YEAST,-1
LGT3_YEAST,0
SKI3_YEAST,1
TRPG_YEAST,1
MA3R_YEAST,2
YOX1_YEAST,-1
RS21_YEAST,2
PHSG_YEAST,-1
LYS1_YEAST,0
NAT1_YEAST,1
YJ49_YEAST,-1
HEX2_YEAST,0
RL34_YEAST,2
SC14_YEAST,-1
YN94_YEAST,0
NAB3_YEAST,1
PDR3_YEAST,2
DAP2_YEAST,1
SFP1_YEAST,-1
PR39_YEAST,0
RS11_YEAST,0
FET4_YEAST,1
SAR1_YEAST,1
YBR8_YEAST,2
YCT8_YEAST,-1
DLD1_YEAST,-1
ERD2_YEAST,1
YMC1_YEAST,0
S160_YEAST,1
SMY2_YEAST,2
LCB2_YEAST,2
MER1_YEAST,2
YCA9_YEAST,1
CPT1_YEAST,0
CB32_YEAST,-1
MDL1_YEAST,1
MER2_YEAST,0
CISY_YEAST,2
RM37_YEAST,-1
HSF_YEAST,1
RCC_YEAST,2
RL41_YEAST,-1
GBG_YEAST,0
EPT1_YEAST,2
PRC3_YEAST,1
YGP1_YEAST,-1
PMT_YEAST,0
AFG3_YEAST,1
RL13_YEAST,2
COX7_YEAST,2
RPB4_YEAST,-1
NFS1_YEAST,0
SEC2_YEAST,-1
SR72_YEAST,0
SEC8_YEAST,1
GCN2_YEAST,2
P2B2_YEAST,-1
GCR1_YEAST,1
RHO1_YEAST,0
TYSY_YEAST,2
SYH_YEAST,-1
RAD4_YEAST,-1
ATP7_YEAST,0
SODM_YEAST,1
APE3_YEAST,2
CC7_YEAST,0
PMGY_YEAST,1
EF3_YEAST,2
GPDA_YEAST,-1
SDH3_YEAST,2
SGE1_YEAST,1
YKS8_YEAST,1
YK44_YEAST,1
ST12_YEAST,2
KICH_YEAST,0
OSTB_YEAST,2
TCPE_YEAST,1
HAP3_YEAST,-1
KIN1_YEAST,-1
ATN1_YEAST,0
GDA1_YEAST,-1
SRPI_YEAST,0
S120_YEAST,0
GAS1_YEAST,-1
HPR1_YEAST,1
RL15_YEAST,2
RPB3_YEAST,2
PYRD_YEAST,-1
RM33_YEAST,-1
RL2A_YEAST,0
R114_YEAST,-1
LIP5_YEAST,0
VATA_YEAST,-1
VP17_YEAST,1
R161_YEAST,2
YCS4_YEAST,1
MAC1_YEAST,0
SYFM_YEAST,1
PUT3_YEAST,1
PP12_YEAST,-1
ARF1_YEAST,0
MA6T_YEAST,2
PCNA_YEAST,2
F16P_YEAST,1
REB1_YEAST,-1
OAT_YEAST,2
H104_YEAST,-1
BOS1_YEAST,-1
CH10_YEAST,2
SWI3_YEAST,0
DMC1_YEAST,1
YNE2_YEAST,0
ERG4_YEAST,1
RS24_YEAST,0
RN12_YEAST,2
SP23_YEAST,-1
IF4A_YEAST,1
6PGD_YEAST,2
ERD1_YEAST,2
YHB7_YEAST,0
PEM2_YEAST,-1
CCL1_YEAST,0
SYFA_YEAST,-1
ERG2_YEAST,0
SP21_YEAST,1
OM45_YEAST,-1
IPPI_YEAST,0
E2BA_YEAST,1
CIK1_YEAST,2
SLN1_YEAST,0
HXTY_YEAST,1
YB54_YEAST,2
COX6_YEAST,0
MSB2_YEAST,1
IF4E_YEAST,2
RS4_YEAST,-1
RL12_YEAST,0
RA55_YEAST,-1
HS75_YEAST,1
PE12_YEAST,0
SNF5_YEAST,0
MLP1_YEAST,2
COXX_YEAST,1
KIP1_YEAST,-1
MRS2_YEAST,2
NOT3_YEAST,1
IS42_YEAST,-1
YJ16_YEAST,2
ACE1_YEAST,-1
CAL1_YEAST,0
NUP2_YEAST,0
END3_YEAST,1
ERG7_YEAST,1
RF1M_YEAST,0
KIME_YEAST,2
JNM1_YEAST,-1
VAL1_YEAST,2
R167_YEAST,0
PT27_YEAST,1
YJ43_YEAST,-1
CTPT_YEAST,1
MEIX_YEAST,1
FUR1_YEAST,2
FKB3_YEAST,2
YHU2_YEAST,0
MS51_YEAST,2
MCM2_YEAST,-1
CC24_YEAST,-1
YJ91_YEAST,1
ODO1_YEAST,-1
ATP9_YEAST,0
H2A1_YEAST,0
UME6_YEAST,1
MSN1_YEAST,2
RT08_YEAST,1
R14A_YEAST,0
MCE1_YEAST,-1
SMC1_YEAST,0
TPIS_YEAST,1
YIG3_YEAST,1
E2BB_YEAST,2
PNPP_YEAST,-1
KAPC_YEAST,0
LEU1_YEAST,2
STL1_YEAST,2
RM32_YEAST,-1
SRB5_YEAST,2
COQ3_YEAST,0
SYG1_YEAST,-1
KEM1_YEAST,-1
H2B2_YEAST,0
PT17_YEAST,1
BGL2_YEAST,1
RA52_YEAST,1
STH1_YEAST,2
R61A_YEAST,1
MAT2_YEAST,-1
HIP1_YEAST,0
RM09_YEAST,2
YJ13_YEAST,2
MOD5_YEAST,-1
KTHY_YEAST,2
YCS7_YEAST,1
SRB6_YEAST,0
HXT6_YEAST,2
SEC6_YEAST,-1
SLY4_YEAST,-1
KC2C_YEAST,1
GPDM_YEAST,0
RM27_YEAST,1
UCRQ_YEAST,2
YCH0_YEAST,0
SMC2_YEAST,2
RT05_YEAST,-1
RPC4_YEAST,-1
KRE5_YEAST,-1
TAL1_YEAST,0
FAS1_YEAST,1
IMP1_YEAST,0
PAS3_YEAST,-1
YBI8_YEAST,1
ODO2_YEAST,1
OPI1_YEAST,0
RM38_YEAST,2
PRC8_YEAST,2
PPAB_YEAST,2
RL6_YEAST,-1
ER24_YEAST,2
NDI1_YEAST,-1
RL19_YEAST,0
BAS1_YEAST,1
STV1_YEAST,1
RFA2_YEAST,2
YK68_YEAST,-1
YHT3_YEAST,0
FMT_YEAST,0
NHP2_YEAST,-1
RNA1_YEAST,1
CP51_YEAST,-1
SYN_YEAST,1
M101_YEAST,2
E2BG_YEAST,2
UCR2_YEAST,-1
YCD8_YEAST,1
NDC1_YEAST,0
RPA1_YEAST,1
ILVB_YEAST,0
GLO3_YEAST,2
FUS1_YEAST,2
SIR4_YEAST,-1
UBC1_YEAST,-1
SEN2_YEAST,0
YBE2_YEAST,2
SYFB_YEAST,0
FLO1_YEAST,-1
SP11_YEAST,1
R13A_YEAST,1
ACH1_YEAST,2
CIN1_YEAST,-1
DED1_YEAST,2
SUL1_YEAST,-1
YHQ1_YEAST,-1
RS28_YEAST,0
CDC3_YEAST,1
OM20_YEAST,1
YHK5_YEAST,0
RTG1_YEAST,-1
RS8_YEAST,2
MDHP_YEAST,0
CC31_YEAST,0
TRP_YEAST,-1
PTM1_YEAST,0
R142_YEAST,0
MT28_YEAST,1
H3_YEAST,2
FRE1_YEAST,1
ERG8_YEAST,1
PYC2_YEAST,2
CAO_YEAST,1
RPBX_YEAST,-1
YBG6_YEAST,0
RN15_YEAST,1
UGA4_YEAST,0
MET2_YEAST,-1
KRE1_YEAST,2
ODPX_YEAST,2
AAR2_YEAST,2
P152_YEAST,-1
IPYR_YEAST,0
FKBP_YEAST,1
AATC_YEAST,2
RPB8_YEAST,0
ADB1_YEAST,1
FIMB_YEAST,-1
DHA2_YEAST,-1
MA3S_YEAST,0
CYC7_YEAST,0
CC25_YEAST,2
MLH1_YEAST,1
RTPT_YEAST,1
RL41_YEAST,1
VAC1_YEAST,2
VP34_YEAST,-1
GRPE_YEAST,2
ZUO1_YEAST,2
PHD1_YEAST,-1
YBC4_YEAST,0
GLS1_YEAST,-1
FCY2_YEAST,0
HXT1_YEAST,1
FOX2_YEAST,2
PIR1_YEAST,0
YHF0_YEAST,2
YJ64_YEAST,-1
MCM1_YEAST,1
MNN9_YEAST,1
RA10_YEAST,2
UBC2_YEAST,-1
STU1_YEAST,2
RL44_YEAST,-1
YKE9_YEAST,0
HS71_YEAST,0
ATH1_YEAST,-1
SDHL_YEAST,1
PRC6_YEAST,2
AROF_YEAST,-1
HAP2_YEAST,1
MFA3_YEAST,1
RL12_YEAST,0
COX8_YEAST,-1
RPOM_YEAST,0
6P2K_YEAST,1
MAD1_YEAST,2
NUF2_YEAST,-1
UBC4_YEAST,2
ATR1_YEAST,0
VM11_YEAST,0
G3P3_YEAST,-1
RAM2_YEAST,0
PRCH_YEAST,1
VATB_YEAST,1
MRS1_YEAST,1
RS33_YEAST,2
YB33_YEAST,1
RL17_YEAST,-1
DSS4_YEAST,0
NU49_YEAST,0
GCY_YEAST,1
RM04_YEAST,2
ADT3_YEAST,-1
ABC1_YEAST,0
ALF_YEAST,2
MS16_YEAST,1
RIF1_YEAST,1
ACP_YEAST,2
CYPH_YEAST,-1
SYLM_YEAST,-1
KAD1_YEAST,0
YHC6_YEAST,2
PRC5_YEAST,1
R29B_YEAST,2
MSH2_YEAST,2
TPS1_YEAST,-1
DPOE_YEAST,-1
RM06_YEAST,0
PROB_YEAST,0
DBF4_YEAST,0
ADH3_YEAST,1
GAC1_YEAST,1
SYMC_YEAST,2
APE2_YEAST,2
CAPA_YEAST,-1
IF2G_YEAST,0
ARF2_YEAST,1
SIR2_YEAST,1
CARA_YEAST,2
NC5R_YEAST,2
PRT1_YEAST,-1
YDA2_YEAST,-1
ATM1_YEAST,-1
K6P1_YEAST,0
YK62_YEAST,2
ANC1_YEAST,-1
TFC1_YEAST,0
LEU2_YEAST,1
SC20_YEAST,2
SMD1_YEAST,1
PR08_YEAST,2
PPA5_YEAST,-1
LY14_YEAST,-1
RT13_YEAST,0
INO2_YEAST,0
PMP1_YEAST,-1
IF52_YEAST,2
PT09_YEAST,1
ROX1_YEAST,1
ARGD_YEAST,2
KPYK_YEAST,-1
KAPR_YEAST,0
NAB1_YEAST,1
NOP2_YEAST,2
COQ2_YEAST,-1
ATN2_YEAST,-1
GCR2_YEAST,-1
LAS1_YEAST,0
SRPR_YEAST,0
DPO4_YEAST,1
CG12_YEAST,2
TRAM_YEAST,0
CACP_YEAST,0
GPT_YEAST,0
RAM1_YEAST,-1
COX2_YEAST,1
YB48_YEAST,2
APN1_YEAST,-1
MA6R_YEAST,0
SAC7_YEAST,0
RA14_YEAST,1
PR22_YEAST,2
CNA1_YEAST,1
CG13_YEAST,2
CC27_YEAST,-1
RPB6_YEAST,0
ATPG_YEAST,2
STF1_YEAST,-1
CAN1_YEAST,1
MA3T_YEAST,2
PAS1_YEAST,-1
YJ36_YEAST,-1
PSS_YEAST,0
DAL4_YEAST,1
FAD1_YEAST,0
HXT5_YEAST,2
ATC2_YEAST,-1
FUS3_YEAST,1
CYBM_YEAST,0
PDS1_YEAST,1
PPR1_YEAST,2
RME1_YEAST,-1
BUD5_YEAST,2
HS82_YEAST,-1
ATPY_YEAST,1
UMPK_YEAST,0
YKA5_YEAST,0
VPS1_YEAST,1
ESP1_YEAST,1
TRM1_YEAST,2
SUG1_YEAST,2
DCP1_YEAST,2
UGS2_YEAST,-1
CATT_YEAST,0
TCPA_YEAST,1
DPB2_YEAST,-1
EXG1_YEAST,0
CBP3_YEAST,-1
STE6_YEAST,0
NAP1_YEAST,0
DAL5_YEAST,1
YIR3_YEAST,0
NPL1_YEAST,2
ATE1_YEAST,2
BEM1_YEAST,-1
SP10_YEAST,1
RCS1_YEAST,2
SHR3_YEAST,1
HXT7_YEAST,-1
HXT4_YEAST,0
ORC2_YEAST,-1
RPM2_YEAST,0
SODC_YEAST,0
RLA1_YEAST,1
RS4E_YEAST,2
ATPU_YEAST,1
ATP8_YEAST,2
PUT4_YEAST,1
ATPO_YEAST,-1
THDH_YEAST,0
RIMI_YEAST,0
NCPR_YEAST,2
SUI1_YEAST,-1
S61A_YEAST,2
H2A2_YEAST,1
PGM2_YEAST,0
MSN2_YEAST,2
PMT2_YEAST,-1
RL1A_YEAST,1
RA25_YEAST,-1
HEM3_YEAST,2
TRNL_YEAST,0
R17B_YEAST,-1
RL16_YEAST,0
CAP2_YEAST,1
RM02_YEAST,1
POP2_YEAST,1
RS8_YEAST,2
RFC2_YEAST,2
ARG2_YEAST,-1
END2_YEAST,1
PPB_YEAST,0
RL46_YEAST,-1
CYB2_YEAST,2
R141_YEAST,0
CC40_YEAST,0
YB32_YEAST,1
GLN3_YEAST,2
CBP4_YEAST,-1
OSTD_YEAST,2
MASZ_YEAST,1
YHG2_YEAST,1
RLA3_YEAST,1
ABP1_YEAST,2
HXT8_YEAST,2
OCH1_YEAST,-1
DATI_YEAST,-1
MNN1_YEAST,0
GTS1_YEAST,0
PLSC_YEAST,1
SST2_YEAST,-1
MDHC_YEAST,-1
TOA2_YEAST,1
CBPY_YEAST,2
IME1_YEAST,2
PAP_YEAST,-1
YB00_YEAST,0
CC4_YEAST,0
KIP2_YEAST,1
GLYM_YEAST,0
PDI_YEAST,0
AP54_YEAST,0
ODPA_YEAST,1
MK16_YEAST,1
KC22_YEAST,2
YHJ2_YEAST,1
TREA_YEAST,2
RS37_YEAST,-1
VM12_YEAST,-1
PTR2_YEAST,2
STE2_YEAST,-1
YPT7_YEAST,0
BAF1_YEAST,-1
RPBY_YEAST,0
NAB2_YEAST,1
TF2D_YEAST,2
GCN5_YEAST,-1
PHR_YEAST,0
RS41_YEAST,1
FUMH_YEAST,2
R29A_YEAST,-1
TTP1_YEAST,2
SLA2_YEAST,0
DBP2_YEAST,1
SRD1_YEAST,2
GLNA_YEAST,0
SIN3_YEAST,-1
RED1_YEAST,0
NOT2_YEAST,1
LEUR_YEAST,2
G6PD_YEAST,1
R37A_YEAST,2
SLY1_YEAST,-1
YCW2_YEAST,-1
HXKA_YEAST,0
LYP1_YEAST,1
AMYH_YEAST,1
CSE2_YEAST,0
MAS5_YEAST,1
CSG2_YEAST,-1
TIP1_YEAST,-1
TPM2_YEAST,2
COX9_YEAST,2
ATPB_YEAST,-1
RFC1_YEAST,1
IPY2_YEAST,0
RAD5_YEAST,2
VPH1_YEAST,0
NAM7_YEAST,-1
RL3_YEAST,0
MCM3_YEAST,-1
RA54_YEAST,0
CC16_YEAST,1
SIR3_YEAST,2
PRCD_YEAST,1
H3_YEAST,-1
R19A_YEAST,2
KRE6_YEAST,2
SR68_YEAST,-1
KR11_YEAST,0
RS15_YEAST,1
GBP2_YEAST,0
GSP2_YEAST,1
ADT1_YEAST,1
GCR3_YEAST,2
PRI2_YEAST,-1
YCQ0_YEAST,-1
IXR1_YEAST,0
RSU2_YEAST,2
OTC_YEAST,-1
MSH1_YEAST,2
TRPE_YEAST,0
SCO1_YEAST,-1
RL18_YEAST,1
CIN4_YEAST,2
ACEA_YEAST,2
CCE1_YEAST,0
SMY1_YEAST,-1
DLDH_YEAST,1
PRCF_YEAST,0
PORI_YEAST,2
BCK2_YEAST,1
YHP0_YEAST,1
CG11_YEAST,2
RA16_YEAST,2
R37B_YEAST,-1
LONM_YEAST,-1
HMD1_YEAST,0
DA80_YEAST,-1
ASG2_YEAST,2
POB1_YEAST,0
CC11_YEAST,0
FDFT_YEAST,1
HS72_YEAST,1
YKW0_YEAST,0
YIN4_YEAST,0
SKN1_YEAST,2
KI28_YEAST,1
SNC1_YEAST,-1
PR18_YEAST,2
DHE4_YEAST,2
KHR1_YEAST,-1
YBT6_YEAST,0
GALX_YEAST,-1
HOP1_YEAST,-1
CHL4_YEAST,0
KAD2_YEAST,1
LAG1_YEAST,1
COQ1_YEAST,2
RPB7_YEAST,1
VP16_YEAST,0
VP15_YEAST,1
CHS3_YEAST,2
CHS1_YEAST,-1
SYTM_YEAST,-1
CIN8_YEAST,2
AMPL_YEAST,1
STF2_YEAST,0
SR54_YEAST,-1
RFC4_YEAST,2
KEX1_YEAST,0
ATPA_YEAST,1
YP52_YEAST,0
DPOG_YEAST,2
PEP8_YEAST,2
YKH4_YEAST,-1
PR06_YEAST,0
CHI2_YEAST,0
ODPB_YEAST,-1
CARB_YEAST,1
CLH_YEAST,2
CC12_YEAST,-1
SIN4_YEAST,1
CRM1_YEAST,2
IF2B_YEAST,0
RS24_YEAST,1
KCC1_YEAST,2
ALG5_YEAST,1
NOP4_YEAST,-1
ARGI_YEAST,-1
DHA1_YEAST,0
AGAL_YEAST,1
RL35_YEAST,0
TFC4_YEAST,0
YHD5_YEAST,0
YJ51_YEAST,2
IRA1_YEAST,1
RAD7_YEAST,1
RPB5_YEAST,2
ADH2_YEAST,1
RL44_YEAST,2
DAP1_YEAST,2
CHMU_YEAST,-1
RA51_YEAST,-1
TF3A_YEAST,0
GDI1_YEAST,0
KRE2_YEAST,-1
DPSD_YEAST,1
TBA1_YEAST,1
PHO2_YEAST,1
PDC2_YEAST,2
YHR8_YEAST,2
UME5_YEAST,-1
IDHP_YEAST,2
DHH1_YEAST,0
ATPS_YEAST,-1
RGM1_YEAST,1
CTR1_YEAST,-1
HXT3_YEAST,0
HAP4_YEAST,2
RM13_YEAST,0
KC21_YEAST,-1
ACT5_YEAST,0
TSA_YEAST,-1
STP1_YEAST,1
GAL4_YEAST,2
VRP1_YEAST,0
RA26_YEAST,-1
MNS1_YEAST,0
ARG1_YEAST,0
T2EA_YEAST,1
ATC4_YEAST,1
STE3_YEAST,1
RAD1_YEAST,2
RL21_YEAST,1
YB8G_YEAST,2
EF2_YEAST,2
TKT1_YEAST,-1
NOP3_YEAST,-1
GFA1_YEAST,0
PDR4_YEAST,0
YMX1_YEAST,1
DCP2_YEAST,1
UBR1_YEAST,2
YN46_YEAST,1
TUP1_YEAST,2
YKE6_YEAST,2
RLA2_YEAST,-1
SED5_YEAST,-1
RL27_YEAST,0
MPP2_YEAST,2
R19B_YEAST,1
YB37_YEAST,-1
NMD2_YEAST,-1
CNA2_YEAST,2
CYB_YEAST,-1
RIM2_YEAST,0
SYI_YEAST,-1
NAT2_YEAST,0
PT94_YEAST,1
VATE_YEAST,-1
PAS7_YEAST,-1
HIR2_YEAST,0
PRC2_YEAST,1
RM31_YEAST,2
CBF5_YEAST,1
MAT2_YEAST,2
YD66_YEAST,0
RL1A_YEAST,2
RT17_YEAST,-1
YGL1_YEAST,1
BCK1_YEAST,-1
PRC9_YEAST,0
SOF1_YEAST,-1
YE14_YEAST,0
PT12_YEAST,0
KIN2_YEAST,2
ACE2_YEAST,1
HBS1_YEAST,1
ENO2_YEAST,2
FBRL_YEAST,2
SUP2_YEAST,-1
YB72_YEAST,0
NMT_YEAST,0
SNM1_YEAST,-1
CEM1_YEAST,1
RAP1_YEAST,0
HS76_YEAST,1
DBP1_YEAST,1
FZF1_YEAST,2
YB8I_YEAST,0
SCJ1_YEAST,2
MSF1_YEAST,-1
R26B_YEAST,2
PGK_YEAST,-1
TBB_YEAST,0
PT54_YEAST,0
NOT4_YEAST,-1
LCB1_YEAST,1
PUR3_YEAST,1
GCN4_YEAST,0
TYR1_YEAST,2
GAL2_YEAST,-1
HS30_YEAST,0
ITR1_YEAST,1
CYPC_YEAST,1
RFC3_YEAST,1
ST14_YEAST,2
RS22_YEAST,-1
YHY1_YEAST,1
BDF1_YEAST,2
RS41_YEAST,0
SC66_YEAST,2
NSR1_YEAST,-1
RLA0_YEAST,1
SYLC_YEAST,2
TPS2_YEAST,-1
ZNRP_YEAST,-1
PIR3_YEAST,2
MFA4_YEAST,-1
N100_YEAST,0
EF1G_YEAST,0
KAR1_YEAST,1
MDJ1_YEAST,2
PMT1_YEAST,-1
KTR2_YEAST,0
MRS4_YEAST,-1
SIS1_YEAST,1
UNG_YEAST,2
PIS_YEAST,0
CBP2_YEAST,0
PDR1_YEAST,-1
SYSC_YEAST,2
PROC_YEAST,-1
CBP6_YEAST,1
RU1A_YEAST,0
SYDM_YEAST,2
GLGB_YEAST,0
DPB3_YEAST,1
MTF1_YEAST,-1
R17A_YEAST,1
PRCE_YEAST,2
UCRX_YEAST,0
ANP1_YEAST,1
TOP3_YEAST,2
RL4A_YEAST,-1
RA18_YEAST,-1
PPAC_YEAST,0
AATM_YEAST,1
RPC1_YEAST,0
TRK1_YEAST,1
DYHC_YEAST,1
IF42_YEAST,0
XRS2_YEAST,2
HXT2_YEAST,2
RPB1_YEAST,-1
SED4_YEAST,-1
PR28_YEAST,0
PYR1_YEAST,1
EUG1_YEAST,1
RL3P_YEAST,1
F26_YEAST,2
CC46_YEAST,2
MT17_YEAST,-1
ADB2_YEAST,0
SRB4_YEAST,-1
UBCX_YEAST,1
PR19_YEAST,0
SMF1_YEAST,2
IRE1_YEAST,2
R16A_YEAST,1
SYWM_YEAST,-1
HEM1_YEAST,0
KTR1_YEAST,2
THIK_YEAST,2
ADA2_YEAST,1
NHPB_YEAST,2
AGA2_YEAST,1
R104_YEAST,-1
PRI1_YEAST,0
YEU2_YEAST,1
H4_YEAST,2
UCRI_YEAST,1
MAG_YEAST,-1
PT91_YEAST,2
SEC4_YEAST,2
CYS3_YEAST,-1
RU17_YEAST,0
PIF1_YEAST,-1
KAR3_YEAST,1
CC68_YEAST,2
RL1_YEAST,0
PTP1_YEAST,1
RM08_YEAST,0
NI96_YEAST,-1
MEP1_YEAST,0
YCZ6_YEAST,0
ACT3_YEAST,1
CCPR_YEAST,1
ROX3_YEAST,2
RL3A_YEAST,2
MAOX_YEAST,-1
CALX_YEAST,-1
SPB4_YEAST,0
RL4B_YEAST,-1
